dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
11,4,4,0,10,,,,0,,,,,,,,0,,,91.0412186134,8.9587813866,0,91.5677025527,90.4087447263,91.6737444862,91.0412186134,0.962493983,23068,21799,344942760,-124158380.8,16,12,0,0,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,16,4,0,10,,,,0,,,,,,,,0,,,91.9151792441,8.0848207559,0,93.5203094778,90.0717768889,93.758733116,91.9151792441,0.9720204877,12836,11941,295669848,-145402540,46,34.1,0,0,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1,2,0,10,,,,,2,30,1000,0,0,,0,,,0,89.887809756,10.112190244,0,90.4107688038,89.2416853871,90.5339872325,89.887809756,0.8862797467,53278,49997.6,841487608,-47754775.2,13,10.5,2088,1044,2,51,73001,0,0,1770,1709.7,-1,-1,-1,-1,1770,1709.7,0,0,29,25.2
11,4,2,0,10,,,,,2,30,1000,0,0,1,0,0,,0,88.2522157231,11.7477842769,0,89.9239435009,86.1596624842,90.3449409573,88.2522157231,0.9179759416,2517155,1917265.3,1212501856,-153900168.8,17,11.7,2088,835.2,2,51,73001,1095205,0,391,355.525,147,110.2333333333,-1,-1,1000,1000,0,0,29,26.7
11,16,2,0,10,,,,,2,30,1000,0,0,1,0,0,,0,86.8631936549,13.1368063451,0,88.2664088272,85.0309572078,88.6955807008,86.8631936549,0.922739363,4833664,4007919.4,2130927488,17191841.6,120,32,36882992,4885380.8,2,51,73001,5276577,0,126,108.14375,512,270.3,-1,-1,1000,1000,0,0,50,42.9
5,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,92.7093132643,7.2906867357,0,95.4819277108,95.7703927492,84.076433121,93.1796801505,0.9254982329,901,177.7,49809384,21147953.6,8,3.4,2527528,2274756,3,22,2126,0,0,62,53.1,-1,-1,-1,-1,62,53.1,0,0,17,13.8
8,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,99.6517595308,0.3482404692,0,99.6363636364,99.5157384988,99.9352051836,99.8717008798,0.9982538346,384,223.9,123901776,98026245.6,4,2.3,1665032,495979.2,4,25,5456,0,0,26,21.6,-1,-1,-1,-1,26,21.6,0,0,11,9.7
9,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,92.9797870028,7.0202129972,0,94.0335834227,94.4045911047,90.7887479316,92.9797870028,0.9386920226,582,518.7,267279472,213754320,7,1.9,10792128,3353176,2,58,4601,0,0,121,104.2,-1,-1,-1,-1,121,104.2,0,0,26,21.7
10,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,85.0578338591,14.9421661409,0,85.7411871045,92.3045734674,71.6955741627,85.0578338591,0.8698502248,1367,1178,259124304,-182389754.4,2,2,6475904,4767316.8,2,11,19020,0,0,364,327.5,-1,-1,-1,-1,364,327.5,0,0,24,19.7
0,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,87.98,12.02,0,96.6794380587,95.9442332066,99.8646608714,99.71,0.983534564,3465,3090.9,523862536,11956817.6,4,3.4,3148984,517991.2,26,17,20000,0,0,1174,1158.1,-1,-1,-1,-1,1174,1158.1,0,0,26,23.8
11,1,2,0,10,,,,,1,200,1000,0,0,,0,,,0,89.887809756,10.112190244,0,90.4107688038,89.2416853871,90.5339872325,89.887809756,0.8862797467,49335,47365.7,854976104,-49847456,11,10.3,6328472,3823817.6,2,51,73001,0,0,1770,1709.7,-1,-1,-1,-1,1770,1709.7,0,0,29,25.2
11,4,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,70.6428679059,29.3571320941,0,66.7036109325,82.4393183935,58.8454478205,70.6428679059,0.7982274117,874240,696766.8,940009832,19462832.8,12,9.3,1283776,730044,2,51,73001,1020605,0,391,355.525,147,110.2333333333,-1,-1,1000,1000,0,0,31,26.6
11,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,77.3085300201,22.6914699799,0,77.6311777587,76.7273026136,77.8898052001,77.3085300201,0.8227196588,2254457,1839495.2,1662271648,199377128,92,18.9,1089904,324900.8,2,51,73001,5117992,0,126,108.14375,512,270.3,-1,-1,1000,1000,0,0,37,32.6
11,64,4,0,10,,,,0,,,,,,,,0,,,91.3179271517,8.6820728483,0,92.9490830391,89.4197578215,93.2162525001,91.3179271517,0.9697623743,7512,7002.1,416161320,-28137873.6,215,130.4,20916992,20819383.2,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,64,7,0,10,0.8,1,0,0,,,,,,,,0,,,88.4124875002,11.5875124998,0,88.0677653191,88.8663634869,87.9585742075,88.4124875002,0.8700158068,343297,334303,627534552,-112299752,49,12.2,5113536,3089348,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,64,2,0,10,,,,,2,30,1000,0,0,1,0,0,,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,7,0,10,0.5,1,0,0,,,,,,,,,,,91.7215428034,8.2784571966,0,95.2150211993,94.9848942598,83.2271762208,92.380056444,0.9026279498,355,179.4,73446968,61134676,4,1.7,3873864,2723431.2,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,7,0,10,0.5,1,0,0,,,,,,,,,,,99.4868035191,0.5131964809,0,99.156626506,99.6368038741,99.848812095,99.8167155425,0.9974778918,523,496.1,168017224,144037242.4,5,1.6,3435968,3106744.8,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,7,0,10,0.5,1,0,0,,,,,,,,,,,91.1106281243,8.8893718757,0,91.6345817291,93.9024390244,86.8174296746,91.1106281243,0.9160544244,1031,1000.6,167358712,166366830.4,2,0.8,3414008,3407950.4,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,7,0,10,0.5,1,0,0,,,,,,,,,,,82.3711882229,17.6288117771,0,82.4643864343,92.4748621473,63.7410287081,82.3711882229,0.7744265342,5294,5040.8,257609760,-194871420.8,2,1.5,4943448,4155907.2,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,7,0,10,0.5,1,0,0,,,,,,,,,,,83.56,16.44,0,91.8787878788,96.0709759189,99.6512414762,99.51,0.9837087025,1189,1129.8,206293112,167385148,7,6.9,4228840,3607604,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
